Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instructions,Video Link
Deadlifts,Stretching,Bodyweight,Core,Hold,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Overhead Press,Mobility,Foam Roller,Core,Pull,"Biceps, Forearms","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Diamond Push-Up,Warm-up,Kettlebell,Core,Stretch,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
High Knees,Mobility,Dumbbells,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Front Raises,Mobility,Foam Roller,Core,Push,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Diamond Push-Up,Warm-up,Kettlebell,Lower body,Push,"Biceps, Forearms","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Reverse Crunch,Mobility,Foam Roller,Upper body,Hold,"Lower Abdominals, Hip Flexors","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Cable Fly,Cardio,Bodyweight,Core,Push,"Shoulders, Triceps","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Skull Crushers,Warm-up,Dumbbells,Lower body,Hold,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Neck Stretch,Mobility,Bodyweight,Upper body,Stretch,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Hanging Leg Raise,Strength,Resistance Band,Upper body,Pull,"Hip Flexors, Glutes","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=aclHkVaku9U
Battle Ropes,Mobility,Kettlebell,Upper body,Hold,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Cable Curl,Cardio,Bodyweight,Upper body,Stretch,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Sun Salutation,Strength,Resistance Band,Upper body,Stretch,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Neck Stretch,Strength,Barbell,Lower body,Push,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bicep Curl,Strength,Kettlebell,Core,Pull,"Quadriceps, Glutes, Hamstrings","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Yoga Flow,Stretching,Resistance Band,Lower body,Pull,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Bird Dog,Strength,Bodyweight,Lower body,Stretch,"Shoulders, Triceps","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Flutter Kicks,Stretching,Dumbbells,Core,Push,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Handstand Hold,Mobility,Bodyweight,Core,Pull,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Chin-Ups,Cardio,Resistance Band,Lower body,Push,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Crab Walk,Cardio,Bodyweight,Core,Pull,"Hamstrings, Glutes, Lower Back","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Seated Row,Warm-up,Resistance Band,Lower body,Pull,"Abdominals, Lower Back, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Diamond Push-Up,Cardio,Barbell,Core,Pull,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Windshield Wipers,Warm-up,Resistance Band,Core,Pull,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Handstand Hold,Warm-up,Kettlebell,Core,Push,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Wall Sit,Stretching,Foam Roller,Core,Stretch,"Shoulders, Triceps","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Cable Curl,Mobility,Barbell,Lower body,Hold,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Sled Push,Mobility,Kettlebell,Core,Hold,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Treadmill Sprint,Warm-up,Foam Roller,Lower body,Pull,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Leg Extension,Strength,Foam Roller,Upper body,Pull,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Mountain Climbers,Stretching,Resistance Band,Core,Pull,"Biceps, Forearms","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Clamshells,Cardio,Resistance Band,Core,Stretch,"Chest, Triceps, Shoulders","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Child's Pose,Mobility,Dumbbells,Core,Pull,"Shoulders, Triceps","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Diamond Push-Up,Cardio,Bodyweight,Core,Stretch,"Shoulders, Triceps","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Windshield Wipers,Stretching,Barbell,Upper body,Pull,"Lats, Biceps, Rear Delts","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Crab Walk,Stretching,Barbell,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=aclHkVaku9U
Bird Dog,Cardio,Resistance Band,Upper body,Stretch,"Lats, Biceps, Rear Delts","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Tricep Extension,Cardio,Foam Roller,Core,Stretch,"Lats, Biceps, Rear Delts","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
High Knees,Stretching,Foam Roller,Upper body,Hold,"Hip Flexors, Glutes","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Wrist Flexor Stretch,Stretching,Foam Roller,Lower body,Hold,"Abdominals, Obliques","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Medicine Ball Slam,Strength,Barbell,Lower body,Push,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Reverse Lunge,Stretching,Dumbbells,Core,Stretch,"Biceps, Forearms","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=JB2oyawG9KI
Bench Press,Strength,Resistance Band,Core,Push,"Lats, Biceps, Rear Delts","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Face Pulls,Mobility,Foam Roller,Core,Hold,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Handstand Hold,Strength,Kettlebell,Lower body,Stretch,"Biceps, Forearms","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=op9kVnSso6Q
Arnold Press,Stretching,Bodyweight,Lower body,Stretch,"Hip Flexors, Glutes","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=op9kVnSso6Q
Wall Sit,Cardio,Dumbbells,Core,Push,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Leg Curl,Mobility,Foam Roller,Upper body,Stretch,"Biceps, Forearms","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Cable Fly,Mobility,Bodyweight,Upper body,Pull,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Sun Salutation,Stretching,Kettlebell,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Sled Push,Stretching,Kettlebell,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Zercher Squat,Cardio,Bodyweight,Lower body,Push,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Front Raises,Warm-up,Barbell,Upper body,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Sprint Intervals,Warm-up,Resistance Band,Upper body,Stretch,"Shoulders, Triceps","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Medicine Ball Toss,Stretching,Resistance Band,Lower body,Pull,"Shoulders, Triceps","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bear Crawl,Mobility,Barbell,Upper body,Hold,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Bench Press,Mobility,Bodyweight,Core,Hold,"Chest, Triceps, Shoulders","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Reverse Crunch,Cardio,Barbell,Lower body,Hold,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Mountain Climbers,Stretching,Dumbbells,Lower body,Pull,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Box Jumps,Warm-up,Resistance Band,Lower body,Stretch,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Crab Walk,Strength,Foam Roller,Lower body,Push,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Medicine Ball Toss,Mobility,Foam Roller,Upper body,Stretch,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Kettlebell Swing,Warm-up,Foam Roller,Core,Hold,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Cat-Cow Stretch,Cardio,Kettlebell,Lower body,Push,"Lats, Biceps, Rear Delts","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Kettlebell Swing,Mobility,Kettlebell,Lower body,Hold,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Boxing Drills,Cardio,Barbell,Core,Pull,"Abdominals, Lower Back, Shoulders","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Medicine Ball Toss,Mobility,Barbell,Upper body,Stretch,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=aclHkVaku9U
Russian Twists,Cardio,Dumbbells,Core,Stretch,"Lats, Biceps, Rear Delts","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Turkish Get-Up,Strength,Barbell,Lower body,Hold,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Medicine Ball Toss,Cardio,Bodyweight,Upper body,Pull,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Battle Ropes,Stretching,Resistance Band,Lower body,Hold,"Hamstrings, Glutes, Lower Back","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Renegade Row,Mobility,Resistance Band,Lower body,Push,"Hip Flexors, Glutes","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Clamshells,Stretching,Kettlebell,Lower body,Push,"Lower Abdominals, Hip Flexors","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Bird Dog,Strength,Foam Roller,Lower body,Push,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Zercher Squat,Cardio,Dumbbells,Upper body,Hold,"Abdominals, Lower Back, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Cable Curl,Cardio,Bodyweight,Lower body,Pull,"Abdominals, Obliques","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Battle Ropes,Cardio,Bodyweight,Core,Stretch,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Shoulder Stretch,Stretching,Bodyweight,Upper body,Push,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Push-Ups,Strength,Bodyweight,Upper body,Pull,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Pull-Ups,Stretching,Barbell,Core,Stretch,"Abdominals, Obliques","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Good Mornings,Stretching,Resistance Band,Core,Hold,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Front Raises,Warm-up,Barbell,Lower body,Hold,"Hip Flexors, Glutes","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=op9kVnSso6Q
Quad Stretch,Cardio,Dumbbells,Upper body,Stretch,"Biceps, Forearms","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Bird Dog,Stretching,Dumbbells,Core,Push,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Quad Stretch,Strength,Resistance Band,Lower body,Stretch,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=9FGilxCbdz8
Turkish Get-Up,Warm-up,Foam Roller,Core,Pull,"Abdominals, Lower Back, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Windshield Wipers,Mobility,Resistance Band,Upper body,Hold,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Turkish Get-Up,Strength,Bodyweight,Core,Push,"Quadriceps, Glutes, Hamstrings","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=op9kVnSso6Q
Glute Bridges,Warm-up,Barbell,Core,Push,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Sprint Intervals,Mobility,Bodyweight,Lower body,Stretch,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Treadmill Sprint,Warm-up,Kettlebell,Lower body,Hold,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Goblet Squat,Stretching,Dumbbells,Core,Stretch,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Seated Calf Raise,Cardio,Barbell,Core,Stretch,"Biceps, Forearms","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Russian Twists,Cardio,Kettlebell,Core,Stretch,"Biceps, Forearms","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Hanging Leg Raise,Warm-up,Dumbbells,Lower body,Hold,"Biceps, Forearms","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Cable Fly,Strength,Foam Roller,Lower body,Push,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=aclHkVaku9U
Zercher Squat,Stretching,Foam Roller,Upper body,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Ankle Circles,Strength,Foam Roller,Core,Stretch,"Abdominals, Lower Back, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=aclHkVaku9U
Reverse Lunge,Warm-up,Kettlebell,Lower body,Push,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Bench Press,Mobility,Foam Roller,Lower body,Pull,"Abdominals, Obliques","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=aclHkVaku9U
Dips,Stretching,Foam Roller,Lower body,Stretch,"Hip Flexors, Glutes","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=aclHkVaku9U
Renegade Row,Warm-up,Resistance Band,Lower body,Push,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Reverse Lunge,Cardio,Barbell,Core,Push,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Flutter Kicks,Strength,Dumbbells,Lower body,Push,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Plank,Stretching,Barbell,Core,Push,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Overhead Press,Mobility,Dumbbells,Lower body,Push,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=aclHkVaku9U
Leg Extension,Stretching,Kettlebell,Core,Push,"Lats, Biceps, Rear Delts","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Kettlebell Swing,Warm-up,Resistance Band,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Reverse Crunch,Stretching,Kettlebell,Upper body,Push,"Shoulders, Triceps","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Child's Pose,Mobility,Dumbbells,Upper body,Stretch,"Hip Flexors, Glutes","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Lateral Raises,Mobility,Dumbbells,Lower body,Stretch,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Lunge Stretch,Mobility,Barbell,Core,Pull,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Box Jumps,Stretching,Dumbbells,Core,Push,"Shoulders, Triceps","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=op9kVnSso6Q
Cable Curl,Stretching,Bodyweight,Lower body,Push,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=JB2oyawG9KI
Burpees,Stretching,Dumbbells,Upper body,Push,"Shoulders, Triceps","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=JB2oyawG9KI
Farmer's Walk,Stretching,Bodyweight,Lower body,Pull,"Lower Abdominals, Hip Flexors","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Shoulder Stretch,Mobility,Barbell,Lower body,Push,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=op9kVnSso6Q
Deadlifts,Strength,Bodyweight,Upper body,Pull,"Abdominals, Lower Back, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Bicep Curl,Warm-up,Dumbbells,Upper body,Push,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=JB2oyawG9KI
Crab Walk,Stretching,Barbell,Lower body,Hold,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Treadmill Sprint,Strength,Bodyweight,Lower body,Push,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Ankle Circles,Mobility,Bodyweight,Core,Stretch,"Abdominals, Obliques","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=op9kVnSso6Q
Arm Circles,Stretching,Foam Roller,Core,Stretch,"Lats, Biceps, Rear Delts","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Child's Pose,Strength,Foam Roller,Lower body,Hold,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Medicine Ball Toss,Warm-up,Dumbbells,Core,Hold,"Lats, Biceps, Rear Delts","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Stretching Routine,Cardio,Bodyweight,Lower body,Pull,"Abdominals, Lower Back, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Wrist Flexor Stretch,Strength,Foam Roller,Upper body,Hold,"Hamstrings, Glutes, Lower Back","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Air Bike,Cardio,Barbell,Upper body,Pull,"Hamstrings, Glutes, Lower Back","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Incline Dumbbell Press,Strength,Foam Roller,Lower body,Push,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Russian Twists,Stretching,Foam Roller,Upper body,Push,"Hip Flexors, Glutes","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Handstand Hold,Strength,Bodyweight,Upper body,Stretch,"Biceps, Forearms","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Diamond Push-Up,Stretching,Barbell,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Battle Ropes,Cardio,Bodyweight,Lower body,Hold,"Hamstrings, Glutes, Lower Back","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=op9kVnSso6Q
Handstand Hold,Cardio,Resistance Band,Lower body,Pull,"Abdominals, Obliques","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=CAwf7n6Luuc
High Knees,Cardio,Foam Roller,Upper body,Stretch,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Treadmill Sprint,Warm-up,Resistance Band,Core,Pull,"Hip Flexors, Glutes","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Box Jumps,Mobility,Dumbbells,Lower body,Stretch,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Cable Fly,Cardio,Bodyweight,Lower body,Hold,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Hanging Leg Raise,Cardio,Foam Roller,Upper body,Hold,"Biceps, Forearms","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Reverse Lunge,Strength,Kettlebell,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=9FGilxCbdz8
Rowing Machine,Cardio,Dumbbells,Core,Hold,"Hamstrings, Glutes, Lower Back","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
